Id,Script result,GBS2p(234),GBS2p(2345),GBS2p(24),Passport ploidy,species
BAO_252,3,4,5,4,4,tbr  adg
BAO_253,3,2,2,2,4,tbr  adg
BAO_254,4,4,5,4,4,tbr  adg
BAO_255,3,2,2,2,4,tbr  adg
BAO_256,3,2,2,2,4,tbr  adg
BAO_257,3,2,5,2,4,tbr  adg
BAO_258,4,4,5,4,4,tbr  adg
BAO_259,4,4,5,4,4,tbr  adg
BAO_260,5,2,2,2,4,tbr  adg
BAO_261,3,3,3,2,4,tbr  adg
BAO_262,4,2,5,2,4,tbr  adg
BAO_263,5,2,2,2,4,tbr  adg
BAO_264,4,2,5,2,4,tbr  adg
BAO_265,4,2,5,2,4,tbr  adg
BAO_266,3,2,2,2,4,tbr  adg
BAO_267,5,4,5,4,4,tbr  adg
BAO_269,4,4,5,4,4,tbr  adg
BAO_270,4,2,5,2,4,tbr  adg
BAO_271,4,2,5,2,4,tbr  adg
BAO_272,4,2,5,2,2,tbr  adg
BAO_273,4,3,5,2,2,tbr  adg
BAO_274,4,4,4,4,4,tbr  adg
BAO_275,4,4,4,4,4,tbr  adg
BAO_276,4,4,5,4,4,tbr  adg
BAO_277,5,4,5,4,4,tbr  adg
BAO_278,3,4,5,4,4,tbr  adg
BAO_279,5,4,5,4,4,tbr  adg
BAO_280,4,4,5,4,4,tbr  adg
BAO_281,5,4,5,4,4,tbr  adg
BAO_282,4,2,5,2,4,tbr  adg
BAO_283,4,2,5,2,2,tbr  adg
BAO_284,4,3,3,2,2,tbr  adg
BAO_285,4,2,2,2,2,tbr  adg
BAO_286,4,2,2,2,2,tbr  adg
BAO_287,5,2,2,2,2,tbr  adg
BAO_288,4,3,3,2,2,tbr  adg
BAO_289,5,3,5,2,2,tbr  adg
BAO_290,4,4,5,4,4,tbr  adg
BAO_291,4,4,5,4,4,tbr  adg
BAO_292,4,2,5,2,4,tbr  adg
BAO_293,3,3,3,2,4,tbr  adg
BAO_294,4,3,5,4,2,tbr  adg
BAO_295,5,4,5,4,4,tbr  adg
BAO_296,4,4,5,4,4,tbr  adg
BAO_297,4,2,5,2,4,tbr  adg
BAO_298,5,4,5,4,4,tbr  adg
BAO_299,3,4,5,4,4,tbr  adg
BAO_300,4,4,5,4,4,tbr  adg
BAO_301,4,4,5,4,4,tbr  adg
BAO_302,3,2,5,2,4,tbr  adg
BAO_303,4,4,5,4,4,tbr  adg
BAO_304,4,4,4,4,4,tbr  adg
BAO_305,5,4,5,4,4,tbr  adg
BAO_306,4,4,5,4,4,tbr  adg
BAO_307,4,2,5,2,4,tbr  adg
BAO_308,3,2,2,2,4,tbr  adg
BAO_309,3,3,3,2,4,tbr  adg
BAO_310,3,2,5,2,4,tbr  adg
BAO_311,3,2,2,2,4,tbr  adg
BAO_312,4,4,4,4,4,tbr  adg
BAO_313,4,4,5,4,4,tbr  adg
BAO_314,4,2,2,2,4,tbr  adg
BAO_315,4,3,5,2,2,tbr  adg
BAO_316,3,2,2,2,4,tbr  adg
BAO_317,5,2,5,2,4,tbr  adg
BAO_318,4,4,4,4,4,tbr  adg
BAO_319,4,4,5,4,4,tbr  adg
BAO_320,4,4,5,4,4,tbr  adg
BAO_321,4,2,5,2,4,tbr  adg
BAO_322,5,2,2,2,4,tbr  adg
BAO_323,4,2,5,2,4,tbr  adg
BAO_324,5,4,5,4,4,tbr  adg
BAO_325,4,4,4,4,4,tbr  adg
BAO_326,4,4,5,4,4,tbr  adg
BAO_327,4,4,5,4,4,tbr  adg
BAO_328,3,4,4,4,4,tbr
BAO_329,5,4,4,4,4,tbr
BAO_330,4,4,4,4,4,tbr
BAO_331,5,4,4,4,4,tbr
BAO_332,4,2,5,2,4,tbr
BAO_333,4,2,5,2,4,tbr
BAO_334,4,4,4,4,4,tbr
BAO_335,4,4,4,4,4,tbr
BAO_336,5,4,4,4,4,tbr
BAO_337,4,4,5,4,4,tbr
BAO_338,4,4,5,4,4,tbr
BAO_339,5,4,5,4,4,tbr
BAO_340,5,4,4,4,4,tbr
BAO_341,3,4,4,4,4,tbr
BAO_342,5,4,5,4,4,tbr
BAO_343,3,2,5,2,4,tbr
BAO_344,4,4,5,4,4,tbr
BAO_345,6,4,5,4,4,tbr  tbr
BAO_346,4,2,5,2,4,tbr  adg
BAO_347,4,2,5,2,4,tbr
BAO_348,3,2,5,2,4,tbr
BAO_349,4,3,3,2,4,tbr  tbr
BAO_350,4,2,5,2,4,tbr  tbr
BAO_351,4,3,5,2,2,tbr  adg
BAO_352,4,2,2,2,4,tbr  adg
BAO_353,3,2,2,2,2,undetermined
BAO002,4,3,3,2,2,stn
BAO004,4,4,4,4,5,tbr
BAO005,4,4,4,4,4,CON 931
BAO006,3,3,5,4,5,tbr
BAO007,4,4,5,4,4,tbr adg
BAO008,4,4,5,4,4,tbr adg
BAO009,4,4,5,4,4,tbr adg
BAO010,1,3,3,2,5,tbr
BAO011,3,3,3,2,2,tbr
BAO012,5,3,3,2,4,tbr  adg
BAO013,4,2,5,2,4,tbr
BAO014,4,4,4,4,4,tbr adg
BAO017,4,4,4,4,4,tbr
BAO018,4,3,5,4,4,tbr adg
BAO019,3,3,5,4,4,tbr adg
BAO020,5,4,5,4,4,tbr adg
BAO021,3,4,5,4,4,tbr
BAO022,4,4,5,4,4,tbr adg
BAO023,4,4,4,4,4,tbr adg
BAO024,4,4,4,4,4,tbr
BAO025,4,4,4,4,4,tbr adg
BAO026,3,3,3,2,4,tbr adg
BAO027,4,4,4,4,4,tbr
BAO028,4,3,5,2,2,tbr
BAO029,4,3,5,4,5,tbr
BAO030,3,2,2,2,4,tbr
BAO031,4,4,5,4,4,tbr adg
BAO032,5,4,4,4,4,tbr adg
BAO033,4,4,4,4,2,tbr
BAO035,5,4,4,4,4,tbr adg
BAO036,4,4,4,4,4,tbr adg
BAO037,3,3,3,2,4,tbr
BAO038,4,4,4,4,4,tbr
BAO039,4,4,4,4,4,tbr adg
BAO040,3,2,2,2,4,tbr
BAO041,3,3,3,2,4,tbr
BAO042,3,3,3,2,4,tbr adg
BAO043,3,3,3,2,4,tbr
BAO044,5,4,4,4,4,tbr adg
BAO045,4,4,5,4,4,tbr adg
BAO046,5,4,4,4,4,tbr adg
BAO047,4,3,3,2,3,tbr
BAO048,4,3,5,2,4,tbr
BARBARA,4,2,2,2,4,tbr
GS_2,5,3,3,2,4,tbr
GS_22,3,3,3,4,4,tbr
GS_223,3,4,4,4,4,tbr
GS_23,4,3,3,2,4,tbr
GS_395,1,3,3,2,4,tbr
GS_5,5,3,3,2,4,tbr
PI_131750,3,4,5,4,4,tbr
PI_182477,5,2,5,2,4,tbr
PI_182550,3,4,5,4,4,tbr
PI_182554,3,3,3,2,4,tbr
PI_199102,4,4,5,4,4,tbr
PI_199285,5,4,5,4,4,tbr
PI_200115,4,4,4,4,4,tbr
PI_200117,4,4,5,4,4,tbr
PI_201406,4,2,2,2,4,tbr
PI_201407,4,4,4,4,4,tbr
PI_201777,4,2,2,2,4,tbr
PI_215618,3,4,5,4,4,tbr
PI_215620,5,4,5,4,4,tbr
PI_215621,4,3,3,4,4,tbr
PI_215623,4,4,4,4,4,tbr
PI_217560,4,4,4,4,4,tbr
PI_223726,4,4,5,4,4,tbr
PI_223730,4,4,5,4,4,tbr
PI_237739,3,4,4,4,4,tbr
PI_237741,4,4,5,4,4,tbr
PI_238084,4,4,4,4,4,tbr
PI_239413,4,4,4,4,4,tbr
PI_239567,4,4,5,4,4,tbr
PI_249611,4,4,4,4,4,tbr
PI_256977,5,4,4,4,4,tbr
PI_270542,4,4,5,4,4,tbr
PI_285264,5,4,4,4,4,tbr
PI_303146,3,4,4,4,4,tbr
PI_303149,3,4,5,4,4,tbr
PI_303150,5,4,4,4,4,tbr
PI_310467,4,4,5,4,4,tbr
PI_319198,4,4,4,4,4,tbr
PI_319425,5,3,3,4,4,tbr
PI_319426,4,4,4,4,4,tbr
PI_319433,4,4,5,4,4,tbr
PI_319848,4,4,4,4,4,tbr
PI_321620,4,4,5,4,4,tbr
PI_321621,4,4,4,4,4,tbr
PI_321622,4,4,5,4,4,tbr
PI_326021,3,4,4,4,4,tbr
PI_344117,5,3,5,4,4,tbr
PI_349761,4,4,4,4,4,tbr
PI_349776,4,4,4,4,4,tbr
PI_349782,4,4,4,4,4,tbr
PI_351052,4,4,4,4,4,tbr
PI_362717,4,4,4,4,4,tbr
PI_362729,4,4,4,4,4,tbr
PI_362730,5,4,5,4,4,tbr
PI_362738,4,4,5,4,4,tbr
PI_362741,4,4,4,4,4,tbr
PI_362742,5,4,4,4,4,tbr
PI_362744,4,4,4,4,4,tbr
PI_372878,3,4,4,4,4,tbr
PI_377745,3,4,4,4,4,tbr
PI_379596,3,4,5,4,4,tbr
PI_379605,4,3,5,4,4,tbr
PI_407410,4,4,5,4,4,tbr
PI_407412,5,4,4,4,4,tbr
